items,count,total,rnd,customer,age,city,paymentType
"rolls/buns,brown bread,bottled water",3,338,9,Maged,60,Hurghada,Cash
coffee,1,526,15,Sameh,35,Hurghada,Cash
"whole milk,honey,waffles",3,2298,9,Maged,60,Hurghada,Cash
"bottled water,bottled beer,napkins",3,1629,9,Maged,60,Hurghada,Credit
"meat,other vegetables,hard cheese,frozen meals,bottled water,soda",6,237,15,Sameh,35,Hurghada,Cash
"beverages,rolls/buns,soda",3,251,9,Maged,60,Hurghada,Cash
"pork,other vegetables,frozen vegetables,hygiene articles",4,2337,15,Sameh,35,Hurghada,Credit
"whole milk,curd",2,1360,9,Maged,60,Hurghada,Cash
soda,1,1409,15,Sameh,35,Hurghada,Cash
sparkling wine,1,272,9,Maged,60,Hurghada,Cash
"bottled water,candy",2,2257,9,Maged,60,Hurghada,Credit
soda,1,132,15,Sameh,35,Hurghada,Cash
female sanitary products,1,263,15,Sameh,35,Hurghada,Cash
"soda,female sanitary products",2,867,9,Maged,60,Hurghada,Credit
"citrus fruit,bottled water",2,1046,15,Sameh,35,Hurghada,Credit
"sausage,whole milk,yogurt,brown bread,cereals,bottled water,soda",7,1947,9,Maged,60,Hurghada,Credit
"fruit/vegetable juice,long life bakery product",2,1452,9,Maged,60,Hurghada,Credit
newspapers,1,124,9,Maged,60,Hurghada,Cash
"pip fruit,whole milk,curd,rum",4,2269,15,Sameh,35,Hurghada,Cash
"frankfurter,sausage,tropical fruit,root vegetables,whole milk,yogurt,rolls/buns,pastry,candy",9,2217,9,Maged,60,Hurghada,Cash
"citrus fruit,tropical fruit,herbs,whole milk,butter,curd,whipped/sour cream,frozen vegetables,canned vegetables,misc. beverages",10,853,9,Maged,60,Hurghada,Cash
"tropical fruit,root vegetables,other vegetables,whipped/sour cream,brown bread,canned fish,long life bakery product",7,752,15,Sameh,35,Hurghada,Cash
"hamburger meat,other vegetables,yogurt,rolls/buns,bottled water",5,876,15,Sameh,35,Hurghada,Cash
bottled beer,1,1499,15,Sameh,35,Hurghada,Cash
"frankfurter,root vegetables,onions,other vegetables,white bread,canned beer",6,741,15,Sameh,35,Hurghada,Cash
"meat,other vegetables",2,1481,15,Sameh,35,Hurghada,Cash
newspapers,1,981,15,Sameh,35,Hurghada,Credit
"whole milk,domestic eggs,rolls/buns,soda",4,584,15,Sameh,35,Hurghada,Credit
"whole milk,sliced cheese,margarine,cat food,detergent,dishes,shopping bags",7,274,15,Sameh,35,Hurghada,Cash
"other vegetables,curd,yogurt,curd cheese,margarine,cleaner,hygiene articles",7,850,9,Maged,60,Hurghada,Credit
"rolls/buns,canned beer",2,158,15,Sameh,35,Hurghada,Cash
"beverages,rolls/buns",2,335,9,Maged,60,Hurghada,Cash
"rolls/buns,shopping bags",2,2341,9,Maged,60,Hurghada,Cash
"sausage,bottled beer,liquor (appetizer)",3,1603,9,Maged,60,Hurghada,Credit
"sausage,root vegetables,other vegetables,whole milk,bottled beer,seasonal products",6,1779,9,Maged,60,Hurghada,Cash
"sausage,tropical fruit,semi-finished bread",3,1877,9,Maged,60,Hurghada,Cash
yogurt,1,1136,15,Sameh,35,Hurghada,Cash
"frankfurter,rolls/buns,mustard",3,335,15,Sameh,35,Hurghada,Credit
other vegetables,1,2296,15,Sameh,35,Hurghada,Credit
coffee,1,386,15,Sameh,35,Hurghada,Cash
"frankfurter,pork,citrus fruit,root vegetables,onions,other vegetables,packaged fruit/vegetables,cat food,bottled water",9,410,15,Sameh,35,Hurghada,Cash
"rolls/buns,soda,specialty bar",3,202,15,Sameh,35,Hurghada,Cash
"finished products,root vegetables,packaged fruit/vegetables,yogurt,specialty cheese,frozen vegetables,ice cream,soda,bottled beer",9,919,9,Maged,60,Hurghada,Credit
"onions,other vegetables,flour",3,1368,15,Sameh,35,Hurghada,Credit
"packaged fruit/vegetables,whole milk,dessert,yogurt,UHT-milk,margarine,bottled water,long life bakery product",8,458,15,Sameh,35,Hurghada,Credit
"chicken,grapes,whole milk,whipped/sour cream,mayonnaise",5,2047,9,Maged,60,Hurghada,Credit
"frozen dessert,semi-finished bread",2,551,15,Sameh,35,Hurghada,Cash
"frankfurter,canned beer",2,2500,15,Sameh,35,Hurghada,Credit
ice cream,1,986,9,Maged,60,Hurghada,Cash
"pork,fish,whole milk,butter,curd,yogurt,whipped/sour cream,flour,sugar",9,118,15,Sameh,35,Hurghada,Cash
"root vegetables,dessert,yogurt,cream cheese ,rice",5,2369,15,Sameh,35,Hurghada,Cash
"frankfurter,beef,tropical fruit,root vegetables,packaged fruit/vegetables,whole milk,frozen vegetables",7,533,9,Maged,60,Hurghada,Cash
"nuts/prunes,whole milk,semi-finished bread,jam,soda,pot plants,shopping bags",7,2259,15,Sameh,35,Hurghada,Cash
"beef,other vegetables",2,1652,9,Maged,60,Hurghada,Cash
"meat,root vegetables,whipped/sour cream,beverages,cream cheese ,waffles,dishes",7,1273,15,Sameh,35,Hurghada,Cash
"frankfurter,sausage,beef,root vegetables,packaged fruit/vegetables,whole milk,dessert,yogurt,sliced cheese,ice cream,rolls/buns,soda",12,1443,15,Sameh,35,Hurghada,Cash
"berries,frozen vegetables,pet care,instant coffee",4,1063,15,Sameh,35,Hurghada,Credit
"curd,butter milk,yogurt,sliced cheese,coffee",5,2354,15,Sameh,35,Hurghada,Cash
"other vegetables,whole milk,frozen meals,rolls/buns,brown bread,napkins",6,291,9,Maged,60,Hurghada,Cash
"chicken,pork,whole milk,frozen vegetables,brown bread,vinegar,bottled beer,red/blush wine,newspapers",9,1039,15,Sameh,35,Hurghada,Credit
"tropical fruit,whole milk",2,1077,15,Sameh,35,Hurghada,Cash
salty snack,1,169,15,Sameh,35,Hurghada,Credit
"ham,beef,grapes,yogurt,whipped/sour cream,domestic eggs,white bread,pastry,bottled water,fruit/vegetable juice,white wine,salty snack,chocolate,newspapers,shopping bags",15,450,15,Sameh,35,Hurghada,Cash
"beverages,rolls/buns,soda,misc. beverages,liqueur,cake bar",6,585,9,Maged,60,Hurghada,Credit
"soda,shopping bags",2,1572,9,Maged,60,Hurghada,Credit
"specialty chocolate,pot plants",2,1946,9,Maged,60,Hurghada,Cash
"citrus fruit,napkins,shopping bags",3,1885,15,Sameh,35,Hurghada,Credit
"other vegetables,whole milk,white bread,chewing gum",4,695,9,Maged,60,Hurghada,Credit
"whole milk,rolls/buns,shopping bags",3,332,9,Maged,60,Hurghada,Credit
"sausage,bottled water,red/blush wine",3,384,15,Sameh,35,Hurghada,Cash
"ice cream,newspapers",2,1987,15,Sameh,35,Hurghada,Cash
"curd,whipped/sour cream,domestic eggs,flour,misc. beverages,newspapers",6,624,9,Maged,60,Hurghada,Cash
"tropical fruit,root vegetables,other vegetables,domestic eggs,white bread,brown bread,canned vegetables,soda,fruit/vegetable juice,rum",10,144,15,Sameh,35,Hurghada,Credit
ice cream,1,296,9,Maged,60,Hurghada,Cash
"bottled beer,liquor,red/blush wine",3,298,9,Maged,60,Hurghada,Credit
"pork,other vegetables,soda",3,1341,15,Sameh,35,Hurghada,Credit
"domestic eggs,hygiene articles,photo/film,flower soil/fertilizer",4,2241,9,Maged,60,Hurghada,Credit
"packaged fruit/vegetables,dessert,mayonnaise,oil,soda,waffles,chocolate,flower (seeds),shopping bags",9,2299,9,Maged,60,Hurghada,Credit
"chicken,other vegetables,whipped/sour cream,frozen vegetables,bottled water,long life bakery product",6,442,9,Maged,60,Hurghada,Credit
"sausage,curd,frozen meals,domestic eggs,cake bar,seasonal products,detergent,cleaner,house keeping products,pot plants,shopping bags",11,1326,9,Maged,60,Hurghada,Cash
"chicken,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,yogurt,whipped/sour cream,hard cheese,frozen vegetables,frozen fish,domestic eggs,white bread,rice,specialty fat,dog food,bottled water,fruit/vegetable juice,long life bakery product,softener,napkins,cling film/bags",23,547,15,Sameh,35,Hurghada,Cash
ice cream,1,243,15,Sameh,35,Hurghada,Cash
"onions,domestic eggs,soda,hygiene articles",4,662,9,Maged,60,Hurghada,Credit
"coffee,fruit/vegetable juice,dishes",3,897,9,Maged,60,Hurghada,Cash
"whole milk,butter,pasta,misc. beverages",4,384,15,Sameh,35,Hurghada,Cash
whole milk,1,622,15,Sameh,35,Hurghada,Cash
"beef,bottled water,misc. beverages,specialty chocolate,shopping bags",5,1286,9,Maged,60,Hurghada,Credit
"pork,whole milk,rolls/buns,bottled beer",4,1434,9,Maged,60,Hurghada,Cash
"yogurt,margarine",2,434,15,Sameh,35,Hurghada,Credit
"bottled beer,liquor",2,2042,15,Sameh,35,Hurghada,Credit
"sausage,tropical fruit,grapes,other vegetables,processed cheese,frozen meals,domestic eggs,white bread,salty snack,newspapers",10,968,9,Maged,60,Hurghada,Cash
"frankfurter,whole milk,yogurt,domestic eggs,brown bread,margarine,fruit/vegetable juice,canned beer,shopping bags",9,960,15,Sameh,35,Hurghada,Credit
"pork,ice cream,soda,cake bar",4,2220,9,Maged,60,Hurghada,Credit
brown bread,1,1658,15,Sameh,35,Hurghada,Credit
"frozen fish,canned beer,red/blush wine",3,1407,9,Maged,60,Hurghada,Cash
"soda,misc. beverages",2,1674,9,Maged,60,Hurghada,Credit
"ham,butter,yogurt,hard cheese,ice cream,domestic eggs,misc. beverages,fruit/vegetable juice",8,1673,15,Sameh,35,Hurghada,Credit
"chicken,citrus fruit,root vegetables,other vegetables,whole milk,yogurt,hard cheese,processed cheese,mayonnaise,frozen vegetables,pastry,roll products ,rice,margarine,sugar,pickled vegetables,bottled water,fruit/vegetable juice,candy,skin care,napkins",21,2444,9,Maged,60,Hurghada,Cash
"citrus fruit,root vegetables,dessert,yogurt,UHT-milk,brown bread",6,170,9,Maged,60,Hurghada,Cash
specialty chocolate,1,485,15,Sameh,35,Hurghada,Cash
"citrus fruit,butter,UHT-milk,margarine,bottled beer",5,645,9,Maged,60,Hurghada,Cash
"popcorn,candy",2,185,9,Maged,60,Hurghada,Cash
"UHT-milk,instant coffee",2,1300,15,Sameh,35,Hurghada,Credit
semi-finished bread,1,1271,9,Maged,60,Hurghada,Cash
shopping bags,1,875,9,Maged,60,Hurghada,Credit
"tropical fruit,other vegetables,bottled water,bottled beer,napkins",5,1103,9,Maged,60,Hurghada,Cash
"other vegetables,yogurt,oil,dental care",4,2469,15,Sameh,35,Hurghada,Cash
onions,1,1660,9,Maged,60,Hurghada,Cash
"other vegetables,sugar",2,1327,9,Maged,60,Hurghada,Credit
soda,1,1017,9,Maged,60,Hurghada,Credit
chewing gum,1,193,9,Maged,60,Hurghada,Cash
"pork,tropical fruit,other vegetables,dessert,yogurt,roll products ,flour,rice,coffee,bottled water,soda,fruit/vegetable juice,canned beer,salty snack",14,1829,15,Sameh,35,Hurghada,Credit
"sausage,citrus fruit,pip fruit,mayonnaise,brown bread,shopping bags",6,524,15,Sameh,35,Hurghada,Cash
"grapes,pastry,salty snack,light bulbs,shopping bags",5,696,15,Sameh,35,Hurghada,Cash
"rolls/buns,canned fish,canned beer",3,1684,15,Sameh,35,Hurghada,Cash
"berries,root vegetables,whipped/sour cream,roll products ,bottled beer",5,1897,9,Maged,60,Hurghada,Credit
"soda,canned beer",2,522,9,Maged,60,Hurghada,Credit
"whole milk,brown bread",2,1673,9,Maged,60,Hurghada,Cash
"tropical fruit,other vegetables,whipped/sour cream,UHT-milk,frozen vegetables,oil,margarine,fruit/vegetable juice,kitchen towels",9,640,9,Maged,60,Hurghada,Credit
"tropical fruit,whole milk,domestic eggs,pastry,hygiene articles",5,2426,9,Maged,60,Hurghada,Credit
"chicken,pork,pip fruit,other vegetables,whole milk,tidbits,frozen fish,rolls/buns,margarine,baking powder,soda,bottled beer,white wine,waffles,chocolate,candy",16,100,15,Sameh,35,Hurghada,Credit
"condensed milk,bottled water,misc. beverages,bottled beer,bathroom cleaner",5,2210,15,Sameh,35,Hurghada,Credit
cling film/bags,1,520,9,Maged,60,Hurghada,Cash
whole milk,1,393,15,Sameh,35,Hurghada,Credit
"frankfurter,beef,tropical fruit,pip fruit,butter,yogurt,dog food,long life bakery product,cookware,newspapers",10,273,9,Maged,60,Hurghada,Cash
"frankfurter,sausage,packaged fruit/vegetables,soda",4,1894,15,Sameh,35,Hurghada,Credit
"tropical fruit,pip fruit,other vegetables,whole milk,napkins,dishes,flower (seeds)",7,523,9,Maged,60,Hurghada,Cash
"chicken,berries,mayonnaise,frozen vegetables,salty snack,newspapers",6,1278,15,Sameh,35,Hurghada,Credit
pork,1,2204,15,Sameh,35,Hurghada,Cash
"frozen potato products,bottled water,soda",3,856,9,Maged,60,Hurghada,Cash
"frankfurter,sausage,tropical fruit,whole milk,yogurt,pastry,sugar,bottled water,soda,fruit/vegetable juice",10,2360,15,Sameh,35,Hurghada,Credit
"chicken,red/blush wine",2,237,15,Sameh,35,Hurghada,Credit
"pork,root vegetables,onions,other vegetables,whole milk,napkins,shopping bags",7,2183,15,Sameh,35,Hurghada,Cash
"pork,citrus fruit,root vegetables,other vegetables,whole milk,butter,soda,dishes,newspapers,flower (seeds)",10,290,15,Sameh,35,Hurghada,Cash
"pork,tropical fruit,root vegetables,onions,other vegetables,whole milk,butter,whipped/sour cream,soft cheese,sliced cheese,ice cream,semi-finished bread,soda,newspapers",14,376,9,Maged,60,Hurghada,Credit
"beef,berries,other vegetables,white bread,shopping bags",5,621,15,Sameh,35,Hurghada,Credit
"frankfurter,meat,tropical fruit,berries,other vegetables,whole milk,whipped/sour cream,domestic eggs,margarine,ketchup,misc. beverages,canned beer,salty snack",13,2080,9,Maged,60,Hurghada,Credit
"oil,dish cleaner,newspapers",3,535,15,Sameh,35,Hurghada,Cash
"onions,vinegar,pet care,specialty bar",4,877,9,Maged,60,Hurghada,Credit
"chewing gum,napkins,dishes",3,441,15,Sameh,35,Hurghada,Credit
"whole milk,yogurt,frozen meals,sugar,coffee,bottled water,fruit/vegetable juice,bottled beer,salty snack",9,1469,15,Sameh,35,Hurghada,Cash
"whole milk,beverages,pastry,soda",4,2218,15,Sameh,35,Hurghada,Credit
"citrus fruit,frozen meals,canned beer,red/blush wine,salty snack",5,631,15,Sameh,35,Hurghada,Cash
"zwieback,oil,mustard,chocolate",4,2111,15,Sameh,35,Hurghada,Credit
"whole milk,butter milk,soda,chewing gum,shopping bags",5,1416,9,Maged,60,Hurghada,Credit
"citrus fruit,whole milk,soft cheese,canned beer",4,498,15,Sameh,35,Hurghada,Credit
"dessert,misc. beverages",2,2421,15,Sameh,35,Hurghada,Cash
"frankfurter,pork,specialty fat,specialty bar",4,1955,9,Maged,60,Hurghada,Credit
"herbs,pot plants",2,1854,9,Maged,60,Hurghada,Credit
"frozen fruits,detergent",2,255,9,Maged,60,Hurghada,Cash
"sausage,ham,citrus fruit,grapes,berries,butter milk,frozen meals,domestic eggs,cat food,coffee,bottled water,soda,fruit/vegetable juice,waffles,hygiene articles",15,537,9,Maged,60,Hurghada,Credit
bottled beer,1,892,15,Sameh,35,Hurghada,Credit
"whole milk,shopping bags",2,1679,9,Maged,60,Hurghada,Credit
"grapes,root vegetables,whole milk,butter,whipped/sour cream,condensed milk,roll products ,oil,bottled water,fruit/vegetable juice",10,2378,9,Maged,60,Hurghada,Credit
"hard cheese,rolls/buns,soda,shopping bags",4,327,15,Sameh,35,Hurghada,Cash
"whipped/sour cream,salty snack",2,1751,9,Maged,60,Hurghada,Credit
"beef,other vegetables,margarine,candles",4,1926,9,Maged,60,Hurghada,Credit
canned beer,1,1688,9,Maged,60,Hurghada,Cash
"whole milk,beverages,bottled water,newspapers",4,293,15,Sameh,35,Hurghada,Credit
"domestic eggs,rolls/buns,white wine",3,2005,15,Sameh,35,Hurghada,Cash
"meat,onions,other vegetables,chewing gum,dishes",5,1318,9,Maged,60,Hurghada,Cash
"pip fruit,root vegetables,whole milk,ice cream,bottled beer,detergent",6,1131,9,Maged,60,Hurghada,Cash
"citrus fruit,herbs,butter,domestic eggs,oil,bottled water,bottled beer",7,615,15,Sameh,35,Hurghada,Credit
"frankfurter,yogurt,beverages,brown bread,specialty chocolate,candy",6,488,9,Maged,60,Hurghada,Cash
"frankfurter,sausage,berries,whole milk,yogurt,brown bread,pastry,margarine,fruit/vegetable juice,waffles,decalcifier,napkins",12,1118,15,Sameh,35,Hurghada,Cash
ice cream,1,1692,9,Maged,60,Hurghada,Cash
"yogurt,shopping bags",2,1225,15,Sameh,35,Hurghada,Cash
"rolls/buns,canned beer,shopping bags",3,2079,15,Sameh,35,Hurghada,Cash
"pastry,soda",2,1704,9,Maged,60,Hurghada,Cash
"yogurt,bottled water,male cosmetics",3,1100,9,Maged,60,Hurghada,Credit
"turkey,tropical fruit,yogurt,UHT-milk,brown bread,pastry",6,1251,9,Maged,60,Hurghada,Credit
"sausage,other vegetables,sliced cheese,mustard,fruit/vegetable juice",5,950,9,Maged,60,Hurghada,Credit
"tropical fruit,pip fruit,soda,bottled beer,popcorn",5,1764,15,Sameh,35,Hurghada,Cash
"tropical fruit,newspapers",2,1742,15,Sameh,35,Hurghada,Credit
whole milk,1,729,9,Maged,60,Hurghada,Credit
"tropical fruit,berries,pickled vegetables,pet care,soda",5,2348,15,Sameh,35,Hurghada,Cash
"other vegetables,whole milk,curd,spread cheese,curd cheese,rolls/buns,brown bread,Instant food products,coffee",9,192,9,Maged,60,Hurghada,Credit
"whole milk,curd,mayonnaise,pastry,flour,canned fish,waffles",7,2391,9,Maged,60,Hurghada,Credit
"tropical fruit,whole milk,sliced cheese,mayonnaise,rolls/buns,mustard",6,257,9,Maged,60,Hurghada,Credit
canned beer,1,764,9,Maged,60,Hurghada,Credit
pip fruit,1,667,15,Sameh,35,Hurghada,Credit
"sausage,whole milk,rolls/buns,canned beer",4,1766,9,Maged,60,Hurghada,Credit
"citrus fruit,other vegetables,butter,candy",4,487,15,Sameh,35,Hurghada,Credit
"citrus fruit,UHT-milk,napkins",3,1909,15,Sameh,35,Hurghada,Credit
"tropical fruit,root vegetables,whole milk,curd,yogurt,frozen vegetables,domestic eggs",7,2091,9,Maged,60,Hurghada,Cash
"frankfurter,other vegetables,whole milk,yogurt,condensed milk,cream cheese ,rolls/buns,pastry",8,865,15,Sameh,35,Hurghada,Credit
"sausage,specialty cheese,misc. beverages,bottled beer",4,2342,15,Sameh,35,Hurghada,Cash
"yogurt,specialty chocolate,seasonal products",3,1217,15,Sameh,35,Hurghada,Cash
photo/film,1,113,15,Sameh,35,Hurghada,Credit
hamburger meat,1,1409,9,Maged,60,Hurghada,Credit
"hamburger meat,citrus fruit,butter,frozen vegetables,pasta,sweet spreads,coffee",7,1845,15,Sameh,35,Hurghada,Credit
"pip fruit,coffee",2,1468,15,Sameh,35,Hurghada,Cash
"tropical fruit,grapes,oil,canned vegetables,tea,fruit/vegetable juice,snack products",7,782,15,Sameh,35,Hurghada,Credit
"canned beer,shopping bags",2,2113,9,Maged,60,Hurghada,Cash
butter milk,1,260,9,Maged,60,Hurghada,Cash
"pork,whole milk,margarine",3,1363,9,Maged,60,Hurghada,Cash
rolls/buns,1,860,9,Maged,60,Hurghada,Credit
"root vegetables,other vegetables,whipped/sour cream,canned beer,liquor,shopping bags",6,1175,15,Sameh,35,Hurghada,Credit
"other vegetables,packaged fruit/vegetables,frozen dessert,rolls/buns,soda",5,2458,9,Maged,60,Hurghada,Credit
"liver loaf,pork,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,curd,dessert,yogurt,frozen vegetables,brown bread,semi-finished bread,oil,dog food,fruit/vegetable juice",16,2108,15,Sameh,35,Hurghada,Cash
"chicken,citrus fruit,yogurt,whipped/sour cream,spread cheese,margarine,softener",7,1300,9,Maged,60,Hurghada,Cash
"beverages,rolls/buns,long life bakery product,shopping bags",4,2329,15,Sameh,35,Hurghada,Credit
"chicken,tropical fruit,whole milk,pastry,soda,long life bakery product,waffles,chocolate",8,1182,15,Sameh,35,Hurghada,Cash
"other vegetables,soda",2,847,9,Maged,60,Hurghada,Cash
"chicken,napkins",2,1351,15,Sameh,35,Hurghada,Credit
"whole milk,whipped/sour cream",2,402,15,Sameh,35,Hurghada,Cash
"citrus fruit,pip fruit,other vegetables,whole milk,butter,cream cheese ,domestic eggs,vinegar,fruit/vegetable juice,softener,napkins",11,1097,9,Maged,60,Hurghada,Cash
"pastry,soda",2,2459,9,Maged,60,Hurghada,Cash
"beef,tropical fruit,frozen vegetables,pickled vegetables,bottled water,soda",6,2311,15,Sameh,35,Hurghada,Credit
"root vegetables,domestic eggs",2,1280,9,Maged,60,Hurghada,Cash
"root vegetables,canned vegetables,soda,shopping bags",4,492,15,Sameh,35,Hurghada,Credit
"pastry,salty snack",2,542,15,Sameh,35,Hurghada,Credit
"other vegetables,brown bread,soda",3,1056,9,Maged,60,Hurghada,Cash
"citrus fruit,tropical fruit,whole milk,domestic eggs,pastry,bottled water,salty snack",7,2063,9,Maged,60,Hurghada,Credit
"citrus fruit,berries,onions,other vegetables,condensed milk,soft cheese,oil,pickled vegetables,specialty vegetables,coffee,bottled water,soda,bottled beer,dish cleaner,male cosmetics,cling film/bags",16,1788,9,Maged,60,Hurghada,Credit
"whole milk,yogurt,cream cheese ,oil,pickled vegetables,cat food,misc. beverages,long life bakery product,chocolate,specialty bar,dishes",11,2279,9,Maged,60,Hurghada,Credit
soda,1,1054,15,Sameh,35,Hurghada,Credit
shopping bags,1,1129,15,Sameh,35,Hurghada,Cash
"pip fruit,sugar",2,1071,15,Sameh,35,Hurghada,Cash
"pip fruit,domestic eggs",2,1767,15,Sameh,35,Hurghada,Cash
"frankfurter,whole milk,bottled water,specialty chocolate,candy",5,2374,9,Maged,60,Hurghada,Credit
"whole milk,cream cheese ,oil,bottled water,fruit/vegetable juice,pot plants",6,465,9,Maged,60,Hurghada,Cash
"ham,other vegetables,whole milk,frozen vegetables",4,424,15,Sameh,35,Hurghada,Cash
"domestic eggs,cat food,bottled water",3,460,15,Sameh,35,Hurghada,Cash
"root vegetables,yogurt,fruit/vegetable juice",3,2419,15,Sameh,35,Hurghada,Cash
"other vegetables,yogurt",2,421,9,Maged,60,Hurghada,Cash
"pork,onions,pastry,potato products,bottled water",5,235,9,Maged,60,Hurghada,Credit
bottled beer,1,1521,15,Sameh,35,Hurghada,Cash
"soda,chocolate,chocolate marshmallow",3,355,9,Maged,60,Hurghada,Credit
"UHT-milk,mayonnaise,rolls/buns,pickled vegetables,soda,hygiene articles,shopping bags",7,1034,9,Maged,60,Hurghada,Credit
"spread cheese,fruit/vegetable juice",2,1944,15,Sameh,35,Hurghada,Credit
